ID	DOI	edited	metalanguage	objectlanguage	license	superseded	pages	series	seriesnumber	creators	title
156	10.5281/zenodo.885113	(eds.)	eng		CC-BY	False		Morphological Investigations	1	Trips, Carola & Kornfilt, Jaklin 	Further investigations into the nature of phrasal compounding
157	10.5281/zenodo.437098		eng		CC-BY	False		Studies in Diversity Linguistics	3	Klamer, Marian	The Alor-Pantar languages: History and typology. Second edition.
159	10.5281/zenodo.1117686	(eds.)	eng		CC-BY	False		Open Generative Syntax	1	Bailey, Laura R. & Sheehan, Michelle 	Order and structure in syntax I: Word order and syntactic structure
160	10.5281/zenodo.889261	(eds.)	por		CC-BY	False		Textbooks in Language Sciences	3	Freitas, Maria João & Santos, Ana Lúcia 	A aquisição de língua materna e não materna: Questões gerais e dados do Português
163	10.5281/zenodo.1441351		eng		CC-BY	False		Conceptual Foundations of Language Science	2	Müller, Stefan	A lexicalist account of argument structure: Template-based phrasal LFG approaches and a lexical HPSG alternative
165	10.5281/zenodo.1402520	(eds.)	eng		CC-BY	False		Empirically Oriented Theoretical Morphology and Syntax	4	Bonami, Olivier, Boyé, Gilles, Dal, Georgette, Giraudo, Hélène & Namer, Fiammetta 	The lexeme in descriptive and theoretical morphology
166	10.5281/zenodo.2589996		eng		CC-BY	False		Studies in Caribbean Languages	4	Delgado, Sally	Ship English: Sailors’ speech in the early colonial Caribbean
167	10.5281/zenodo.892102	(eds.)	eng		CC-BY	False		Studies in Diversity Linguistics	17	Stenzel, Kristine & Franchetto, Bruna 	On this and other worlds: Voices from Amazonia
173	10.5281/zenodo.1219168	(eds.)	eng		CC-BY	False		Studies in Diversity Linguistics	19	Seržant, Ilja A. & Witzlack-Makarevich, Alena 	Diachrony of differential argument marking
174	10.5281/zenodo.1344467		eng		CC-BY	False		Studies in Diversity Linguistics	20	Hölzl, Andreas	A typology of questions in Northeast Asia and beyond: An ecological perspective
175	10.5281/zenodo.1244028		eng		CC-BY	False		Topics at the Grammar-Discourse Interface	2	Müller, Sonja	Distribution und Interpretation von Modalpartikel-Kombinationen
